Key (Decoded),Value (Decoded)
Set options for sending pen input to other displays on the system.,Legen Sie Optionen für das Senden von Stift-Eingaben an andere Displays auf dem System fest.
Switch application,Anwendung wechseln
Driver check,Treiberprüfung
View currently connected devices and customize their settings.,Zeigen Sie die aktuell verbundenen Geräte an und passen Sie deren Einstellungen an.
Layers,Ebenen
WACOM_CENTER_OFFERS_WEBVIEW,https://www.wacom.com/wacom-center/offers?wcLang=de
"Charging, %d%% full","Lädt, %d%% voll"
Finder,Finder
3090:01:00,Einer
"If your Wacom pen display's screen has a different format than your monitor, the movement during Display toggle may be distorted and make navigation difficult:","Wenn der Bildschirm Ihres Wacom Stift-Displays ein anderes Format als Ihr Monitor hat, kann die Bewegung beim Displaywechsel verzerrt sein und dies die Navigation erschweren:"
"Step 2 - Use your pen or touch to select Display Settings, navigate menus, and select options.","Schritt 2 – Verwenden Sie Ihren Stift oder tippen Sie, um die Anzeige-Einstellungen auszuwählen, durch die Menüs zu navigieren oder Optionen zu wählen."
Brush Size,Pinselgröße
You can change any of your settings in wacom center. Let's check it out!,"Sie können all Ihre Einstellungen im Wacom Center ändern.
 Lassen Sie uns einen Blick drauf werfen!"
Pen mapping,Stiftprojektion
"To turn the touch function on or off, use your device's built-in menu.","Um die Touch-Funktion ein- oder auszuschalten, nutzen Sie das in Ihrem Gerät integrierte Menü."
3001:22:00,Alle Tasten geöffnet
Current:,Aktuell:
Finger 1,Finger 1
Brush size -,Pinselgröße -
Click to select an action to assign to this Dial mode.,"Klicken Sie hier, um diesem Einstellrad-Modus eine Aktion zuzuordnen."
Delete,Löschen
NewPanel,Neues Feld
3110:04:00,Lädt
"You can assign ""Touch on/off"" to a Touch key, ExpressKey, or On-screen shortcut button to change the touch setting.","You can assign """"Touch on/off"""" to a Touch key, ExpressKey, or On-screen shortcut button to change the touch setting."
Import,Importieren
Please restart Wacom Center.,Bitte starten Sie das Wacom Center neu.
"Register your device with your Wacom ID to get bundled software, helpful tutorials, and future offers from Wacom.","Registrieren Sie Ihr Gerät mit Ihrer Wacom ID, wenn Sie künftig Softwarepakete, hilfreiche Tutorials und Angebote von Wacom erhalten möchten."
3001:05:00,Innerhalb
Battery:,Batterie:
Assign Display toggle,Displaywechsel zuordnen
User Ink Injection:,Einspritzung von Benutzertinte:
4001:51:00,Projektionseinstellungen
Back,Zurück
Swipe,Swipe
Photoshop drawing,Photoshop Zeichnung
OEM Code:,OEM-Code:
Backup in progress,Sicherung läuft
Grid panels,Rasterfelder
Photoshop shortcuts,Photoshop Verknüpfungen
"No errors identified. If you have problems with your driver, try the following:","Es wurden keine Fehler festgestellt. Sollten Sie Probleme mit dem Treiber haben, versuchen Sie Folgendes:"
Left Buttons:,Linke Tasten:
3110:01:00,Aufgeladen
3114:00:00,Ja
1380:03:00,"Querformat, umgekehrt"
Return to the main On-screen shortcuts page.,Kehren Sie zur Hauptseite mit den Bildschirm-Shortcuts zurück.
Pan/Scroll (Legacy),Verschieben/Bildlauf (alt)
3001:02:00,ADB
Arrow keys,Pfeiltasten
Select the position of your ExpressKeys when working with your tablet.,Wählen Sie die Position Ihrer ExpressKeys für die Arbeit mit Ihrem Tablet.
On-screen keyboard,Bildschirmtastatur
Radial menu,Radialmenü
Touch Points:,Berührungspunkte:
Wacom Tablet Preferences,Wacom Tablettvoreinstellungen
Modifiers,Änderungstasten
Using a Tablet button as an ExpressKey,Verwenden einer Stifttablett-Taste als ExpressKey
"wacom bridge license with this wacom driver version valid until: %s. for uninterrupted service, contact your wacom bridge administrator to update the license and/or your wacom driver prior to this date.","Die Lizenz für die Wacom Bridge ist mit dieser Wacom Treiberversion gültig bis: %s. Damit die unterbrechungsfreie Verfügbarkeit gewährleistet ist, wenden Sie sich bitte an Ihren Wacom Bridge Administrator, um die Lizenz bzw. den Wacom Treiber vor diesem Datum zu aktualisieren."
WACOM_CENTER_DEVPAGE_EDU_WEBVIEW,https://www.wacom.com/wacom-center/product-videos?wcLang=de&regMethod=%s&feedback=true
Enable / Disable toggle to the device,Enable / Disable toggle to the device
Zoom/Scroll,Zoomen/Scrollen
wacom bridge connection status:,Wacom Bridge Verbindungsstatus:
Settings,Einstellungen
Customize your settings,Passen Sie Ihre Einstellungen an
4001:130,"Lernen Sie, wie Sie Ihr Gerät über Bluetooth verbinden"
Tap to right click,Rechtsklick: Tippen
Pinch,Pinch
Touch: Off,Touch: Aus
3117:00:00,Ein
4001:80,Abstimmung zwischen Stift und Bildschirm-Cursor kalibrieren
Step 1: Press the button next to the power button to open the built-in display settings menus.,"Schritt 1: Drücken Sie die Taste neben der Einschalttaste, um die integrierten Menüs für die Anzeigeeinstellungen zu öffnen."
Change Settings,Einstellungen ändern
Setup the basic functionality of touch.,Richten Sie die grundlegenden Funktionen der Toucheingabe ein.
Start,Start
Reverse,Umkehren
"%d%%, plugged in","%d% %, angeschlossen"
Set up the basic functionality of touch and find the selective touch function here.,Hier richten Sie die Touch-Grundfunktionen ein und finden die selektive Touch-Funktion.
"Display Toggle is a function to toggle your cursor between multiple screens, which is only available for multi-screen setups. Connect another display to configure Display Toggle here.","Display Toggle is a function to toggle your cursor between multiple screens, which is only available for multi-screen setups. Connect another display to configure Display Toggle here."
Zoom...,Zoomen…
OK,OK
Up/Down arrow,Pfeil nach oben/unten
WACOM_CENTER_DEVPAGE_EDU_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/product-videos?wcLang=de&regMethod=%s&feedback=true
Tilt:,Neigung:
connected,Angeschlossen
Select keyboard modifiers to combine with the wheel action.,"Wählen Sie Zusatztasten aus, die mit der Rädchen-Aktion kombiniert werden sollen."
Resource:,Resource:
"Would you like to apply the orientation ""Portrait flipped""?",Möchten Sie die Ausrichtung „Hochformat gedreht“ aktivieren?
Canvas controls,Leinwand-Einstellungen
"Would you like to apply the orientation ""Portrait""?",Möchten Sie die Ausrichtung „Hochformat“ aktivieren?
support,Support
"Would you like to apply the orientation ""Landscape flipped""?",Möchten Sie die Ausrichtung „Querformat gedreht“ aktivieren?
Do you want to overwrite your backup,Möchten Sie Ihre Sicherung überschreiben
4001:110,Lerne von Experten und Künstlern mit Tutorials und Schulungen
Left/Right arrow,Pfeil nach links/rechts
Touch input is enabled only on Grid panels or Radial menus.,Die Toucheingabe ist nur bei Rasterfeldern oder Radialmenüs möglich.
wacom reserves the right to charge a reasonable license or subscription fee for this feature in the future.,"Wacom behält sich das Recht vor, in Zukunft eine angemessene Lizenz- oder Abonnementgebühr für diese Funktion zu berechnen."
One or more of your Wacom devices are no longer supported by this driver.,Eines oder mehrere Ihrer Wacom Geräte werden von diesem Treiber nicht mehr unterstützt.
"Turning your device's touch slider to ""Off"" and choosing ""Selective""","Turning your device's touch slider to ""Off"" and choosing ""Selective"""
Open/Run,Open/Run
Tip sensitivity,Empfindlichkeit der Spitze
Tablet S/N:,Tablett S/N:
Mapping setup,Einrichtung der Projektion
Tablet functions,Tablettfunktionen
Buttons:,Tasten:
"Adjust pen tip sensitivity and feel, customize the pen button and other pen settings.","Stellen Sie die Neigungsempfindlichkeit und Haptik der Stiftspitze ein, passen Sie die Stifttaste und andere Stifteinstellungen an."
3001:18:00,%.1f mm
To import an older backup file:,Für den Import einer älteren Sicherungsdatei:
4001:94,"Lernen Sie, wie Sie Ihr Gerät über Bluetooth verbinden"
Pressure:,Druck:
Do you want to delete the selected preset settings group: %s?,Möchten Sie die ausgewählte Voreinstellungsgruppe wirklich löschen: %s?
Pen S/N:,Stift S/N:
Four fingers,Vier Finger
Customize functions of the Dials on the device.,Funktionen der Einstellräder auf dem Gerät anpassen.
Maximum,Maximum
Step 1 - Press the Tablet button assigned to Power & Menu to open the built-in menu.,"Schritt 1 - Drücken Sie die „Ein/Aus & Menü“ zugeordnete Stifttablett-Taste, um das integrierte Menü zu öffnen."
Double tap,Doppeltippen
Overwriting this backup will replace its settings with the settings you are currently using. This process is not reversible.,"Das Überschreiben dieser Sicherung ersetzt deren Einstellungen mit denen, die Sie aktuell verwenden. Dieser Prozess ist nicht umkehrbar."
Customize the actions performed by the Touch ring.,"Passen Sie die Aktionen an, die der Touch Ring ausführt."
Mode toggle...,Modus wechseln…
Display firmware:,Display-Firmware:
Brush size,Pinselgröße
"If your Wacom device is plugged in, check the connections or try using a different port.","Wenn Ihr Wacom Gerät eingesteckt ist, überprüfen Sie die Verbindungen oder versuchen Sie, einen anderen Anschluss zu verwenden."
Step 1 - Press the middle button on the back of the device to open the built-in display settings menus.,"Schritt 1 - Drücken Sie die mittlere Taste auf der Rückseite des Geräts, um die integrierten Menüs für die Anzeigeeinstellungen zu öffnen."
3001:20:00,Ein
4001:81,Stiftkalibrierung
"Assign ""Dial toggle"" to an ExpressKey to toggle between the settings of the nearest Dial without opening Wacom Center.","Weisen Sie einem ExpressKey die Funktion „Einstellrad umschalten“ zu, um auf das nächste Einstellrad umzuschalten, ohne das Wacom Center zu öffnen."
Pen tool,Stiftwerkzeug
Document view,Dokumentenansicht
Use the Touch keys to access commonly used functions and features.,"Verwenden Sie die Touch Keys, um auf häufig verwendete Funktionen und Eigenschaften zuzugreifen."
Configure on the Mapping page,Auf der Projektionsseite konfigurieren
Copy,Kopieren
Video tutorials on how to use On-screen shortcuts.,Video-Anleitungen zur Verwendung von Bildschirm-Shortcuts.
1. Move the USB/Bluetooth selector on the top of the tablet to the Bluetooth channel you would like to use ( . or : ).,"1. Stellen Sie den USB/Bluetooth-Auswahlschalter auf der Oberseite des Stifttabletts auf den Bluetooth-Kanal, den Sie nutzen möchten ( . oder : )."
Inset Area limits the active area on your pen display so shorter pen strokes can be used when working on other displays.,"„Teilbereich“ schränkt den aktiven Bereich auf dem Stiftdisplay ein, sodass kürzere Stiftbewegungen genügen, wenn Sie auf anderen Displays arbeiten."
"there is no wacom bridge connection to the remote computer. make sure you are logged into a wacom bridge supported remote computer. if the issue persists, contact your wacom bridge administrator or contact support to troubleshoot your wacom bridge connection.","Es besteht keine Verbindung zwischen der Wacom Bridge und dem Remote-Computer. Vergewissern Sie sich, dass Sie bei einem Remote-Computer angemeldet sind, der die Wacom Bridge unterstützt. Falls das Problem weiterhin besteht, wenden Sie sich an bitte Ihren Wacom Bridge Administrator oder an den Support, um das Problem mit der Wacom Bridge Verbindung zu beheben."
Show local screen cursor,Lokalen Bildschirmcursor anzeigen
Mission control,Mission Control
Customize On-screen shortcuts in Wacom Center and use them to optimize your workflow. You can learn more on the On-screen shortcuts page.,Sie können im Wacom Center Bildschirm-Shortcuts anpassen und diese zur Optimierung Ihrer Abläufe verwenden. Mehr dazu erfahren Sie auf der Seite Bildschirm-Shortcuts.
Touch on/off,Touch ein/aus
4001:30:00,Passen Sie Farbe und andere Einstellungen für Ihr Wacom Display an
NewMenu,Neues Menü
The content of this page can also be viewed by logging into your account at wacom.com.,Sie können die Inhalte dieser Seite auch nach Anmeldung in Ihrem Account auf wacom.com betrachten.
Tools,Werkzeuge
Right,Rechts
4001:141,Dieses Gerät verbinden
"To see which Tablet button is assigned to Power & Menu, go to the ExpressKey settings.","Welche Stifttablett-Taste „Ein/Aus & Menü“ zugeordnet ist, können Sie in den ExpressKey-Einstellungen sehen."
send feedback,Feedback senden
Pen Name:,Stift Name:
Bucket tool,Eimerwerkzeug
Go forward one page.,Eine Seite weiter gehen.
no wacom bridge supported devices connected. check the wacom support faqs for a list of wacom bridge supported devices.,Es sind keine von Wacom Bridge unterstützte Geräte angeschlossen. In den FAQs des Wacom Supports finden Sie eine Liste der von Wacom Bridge unterstützten Geräte.
Precision mode,Präzisionsmodus
"If your Wacom device is plugged in, check the connections or try using a different port. If you are using a wireless device, make sure it is on and paired or connected. If you need assistance, please contact Wacom Support and we can help.","Wenn Ihr Wacom-Gerät eingesteckt ist, überprüfen Sie die Verbindungen oder versuchen Sie, einen anderen Anschluss zu verwenden. Wenn Sie ein drahtloses Gerät verwenden, vergewissern Sie sich, dass es eingeschaltet und gepaart oder verbunden ist. Wenn Sie Hilfe benötigen, wenden Sie sich bitte an den Wacom-Support, damit wir Ihnen helfen können."
Layers/Brush size,Ebenen/Pinselgröße
Limits the active area during display toggle.,Begrenzt die aktive Fläche beim Displaywechsel.
Touch keys,Touch Keys
Select portion...,Teilbereich auswählen…
Press and hold the Bluetooth button on your pen tablet until the light starts blinking. The pen tablet is now in pairing mode.,"Drücken Sie die Bluetooth-Taste an Ihrem Stifttablett und halten Sie diese gedrückt, bis das Licht zu blinken beginnt. Das Stifttablett befindet sich jetzt im Pairing-Modus."
Redo,Wiederholen
Advanced gestures,Erweiterte Gesten
3090:05:00,fünf
Confirm reset,Zurücksetzen bestätigen
"Your pen display has two Tablet buttons, one of which can be used as an ExpressKey. There are also two Touch keys next to the screen, as indicated in the image. You can adjust the settings of both on the Wacom Center ExpressKeys page.","Ihr Stift-Display verfügt über zwei Stifttablett-Tasten, von denen eine als ExpressKey verwendet werden kann. Neben dem Bildschirm befinden sich zudem zwei Touch Keys, wie in der Abbildung gezeigt. Für beide Tasten können Sie die Einstellungen auf der Seite ExpressKeys im Wacom Center anpassen."
"Wacom Center uses screen recording only to display thumbnail images for each display. For more details, review:","Wacom Center verwendet die Bildschirmaufzeichnung nur, um Miniaturbilder für jede Anzeige anzuzeigen. Weitere Einzelheiten finden Sie in der Rezension:"
Inset area,Teilbereich
4001:40:00,Passen Sie den Displaywechsel an
Customize functions of the Dials/Touch Rings on the device.,Passen Sie die Funktionen des Einstellrads/Touch Ring auf dem Gerät an.
Swipe left/right,Links/rechts wischen
ExpressKeys,ExpressKeys
4001:163,Configure in mapping page
3001:19:00,%.1f°
Navigation,Navigation
wacom bridge license & subscription information,Wacom Bridge Lizenz- und Abonnement-Informationen
About Wacom Center,Über das Wacom Center
4001:95,"Important Product Information: cautions, specifications, license and warranty for your wacom device "
Your Wacom device is no longer supported,Ihr Wacom Gerät wird nicht mehr unterstützt
Position:,Position:
"Limits the active area to 6 x 8 inches. It can be smaller if ""Force proportions"" is enabled.","Begrenzt die aktive Fläche auf 6 x 8 Zoll. Diese kann kleiner sein, wenn „Proportionen erzwingen“ aktiviert ist."
3090:02:00,Zwei
Zoom in,Vergrößern
"Your device has two Touch keys, one on each side of the display, which function as ExpressKeys.","Ihr Gerät verfügt über zwei Touch Keys, jeweils einen auf jeder Seite des Displays. Diese funktionieren als ExpressKeys."
Select one display,Wählen Sie ein Display aus
"Or visit Wacom Support to check whether an older driver for your device and operating system is available, and download it.","Oder besuchen Sie den Wacom Support, um zu prüfen, ob ein älterer Treiber für Ihr Gerät und Ihr Betriebssystem verfügbar ist, und laden Sie ihn herunter."
Rename the currently selected preset settings group?,Die ausgewählte Voreinstellungsgruppe umbenennen?
Scroll...,Scrollen…
Click to register your device using your Wacom ID account. Unlock software offers that may be bundled with your device.,"Klicken Sie hier, um Ihr Gerät unter Verwendung Ihres Wacom ID Kontos zu registrieren. Schalten Sie Softwareangebote frei, die möglicherweise mit Ihrem Gerät gebündelt sind."
Then go to your computer's Bluetooth settings and select the Wacom tablet from the list to start pairing.,"Gehen Sie nun zu den Bluetooth-Einstellungen Ihres Computers und wählen Sie in der Liste das Wacom-Stifttablett aus, um die Geräte zu koppeln."
Pen button mode,Stifttastenmodus
Paste,Einfügen
Pan/Scroll (legacy),Verschieben/Bildlauf (alt)
3110:05:00,Lädt nicht
"Would you like to apply the orientation ""Landscape""?",Möchten Sie die Ausrichtung „Querformat“ aktivieren?
Display toggle,Anzeige wechseln
Touch Selective,Touch Selective
3001:06:00,Ausserhalb
Tablet,Tablett
"One or more of your Wacom devices are no longer supported by this driver. For optimal performance, we recommend switching to a newer Wacom product. Contact Wacom Support to learn more. Thank you for your continued support.",Eines oder mehrere deiner Wacom-Geräte werden von diesem Treiber nicht mehr unterstützt.
3001:21:00,Aus
Custom,Angepasst
Wheel...,Rädchen …
Zoom out,Verkleinern
App shortcuts,App-Kurzbefehle
Display %s,Display %s
4001:143,Touch: Aus
3110:02:00,"Wird entladen, %d%% voll"
Battery is %d%% full,Batterie ist zu %d%% aufgeladen
4001:31:00,Display-Einstellungen
3001:03:00,Seriell
Important: Battery charging,Wichtig: Laden der Batterie
3114:01:00,Nein
Use the ExpressKeys to trigger your favorite keyboard shortcuts or other functions.,"Verwenden Sie die ExpressKeys, um Ihre bevorzugten Tastenkombinationen oder andere Funktionen auszulösen."
Swipe down,Nach unten wischen
"To connect via Bluetooth, make sure the pen tablet is charged.","Um eine Verbindung über Bluetooth herzustellen, muss das Stifttablett aufgeladen sein."
Normal,Normal
Try turning off your computer and turning it back on again.,Schalten Sie Ihren Computer aus und wieder ein.
Keyboard,Tastatur
Right Buttons:,Rechte Tasten:
Rotate right,Nach rechts drehen
Click the text field to assign a custom action to this gesture.,"Klicken Sie auf das Textfeld, um dieser Geste eine benutzerdefinierte Aktion zuzuordnen."
Fit on Screen,Auf Bildschirm anpassen
WACOM_CENTER_NEWS_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/news/intuos-pro?wcLang=de
3001:12:00,Maus
"Cautions, specifications, license and warranty for your Wacom device","Vorsichtshinweise, Spezifikationen, Lizenz und Garantie für Ihr Wacom Gerät"
Skip,Überspringen
Proximity:,Tablettnähe:
View tutorial videos for tips and tricks about using your pen with the software bundled with your device.,Sehen Sie sich Video-Tutorials an mit Tipps und Tricks zur Verwendung Ihres Stifts mit der mit Ihrem Gerät mitgelieferten Software.
USB/Bluetooth selector,USB/Bluetooth-Auswahlschalter
Please consider an upgrade to a newer Wacom product with improved features and functions.,Bitte erwägen Sie ein Upgrade auf ein neueres Wacom Produkt mit verbesserten Eigenschaften und Funktionen.
4th click,4. Klick
"If that does not work, please contact Customer Support, and we can help.","Sollte das nicht funktionieren, wenden Sie sich bitte an den Kundensupport, damit wir Ihnen weiterhelfen können."
Display,Anzeige
Left,Links
Connected via Bluetooth,Über Bluetooth angeschlossen
4001:41:00,Displaywechseleinstellungen
Pen display modifiers,Stift-Display-Modifikatoren
Map to all displays,Auf alle Displays projizieren
Register your device for exclusive software offers.,"Registrieren Sie Ihr Gerät, um exklusive Softwareangebote zu erhalten."
Eraser tool,Radiergummi-Werkzeug
Display toggle cycles your cursor between multiple screens and is only available for multi-screen setups.,Beim Displaywechsel wechselt Ihr Cursor zwischen mehreren Bildschirmen. Er ist nur bei Installationen mit mehreren Bildschirmen verfügbar.
3117:01:00,Aus
Wacom Bridge License Key,Wacom Bridge Lizenzschlüssel
1380:00:00,Hochformat
Click to make this the active Dial mode.,"Klicken Sie hier, um diesen zum aktiven Einstellrad-Modus zu machen."
New backup,Neue Sicherung
Touch input,Touch-Eingabe
Software offers,Softwareangebote
Launch,Launch
Touch ring,Touch Ring
Rotate,Drehen
Eraser pressure,Radiererdruck
Applications,Anwendungen
Three fingers,Drei Finger
Layer up,Schichten Sie es auf
Your device is no longer supported,Ihr Gerät wird nicht mehr unterstützt
4001:145,Touch ist derzeit aktiviert.
Pen hover,Schweben
Recommended,Empfohlen
WACOM_CENTER_OSCPAGE_EDU_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/oss-videos?collection=oss?wcLang=de&feedback=true
"Sets ExpressKeys, Touch rings, Dials and Rocker rings to ""Disabled"" for all currently connected devices.","Setzt ExpressKey, Touch Ring, Einstellrad und Rocker Ring für alle aktuell verbundenen Geräte auf &quot;Deaktiviert&quot;."
Please choose another name. The current name is already in use.,Bitte wählen Sie einen anderen Namen. Der aktuelle Name wird bereits verwendet.
Default,Standard
Include or exclude all displays in the Display toggle cycle.,Sie können alle Displays in den Displaywechsel-Zyklus aufnehmen oder daraus entfernen.
4001:70,Rocker Ring Funktionen ändern
Erase,Radieren
Eraser sensitivity,Empfindlichkeit des Radierers
Do you want to delete the selected preset settings group?,Do you want to delete the selected preset settings group?
Devices,Geräte
Rotate left,Nach links drehen
"If you need assistance, please contact Wacom Support and we can help.","Wenn Sie Hilfe benötigen, wenden Sie sich bitte an den Wacom Support, damit wir Ihnen helfen können."
3001:13:00,Stift
WACOM_CENTER_NEWS_WEBVIEW_DEV,"WACOM_CENTER_NEWS_WEBVIEW_DEV""

""WACOM_CENTER_LEARNING_WEBVIEW"" = ""WACOM_CENTER_LEARNING_WEBVIEW"
Enable or disable 1- and 2-finger gestures.,Aktivieren oder deaktivieren Sie Gesten mit einem oder zwei Fingern.
Use the pen to click on th3e Bottom Right corner of the Portion of Tablet area that you are selecting. Press Esc to cancel.,"Verwenden Sie den Stift, um auf die untere rechte Ecke des Teils der Stifttablett-Fläche zu klicken, den Sie auswählen. Drücken Sie zum Abbrechen die Esc-Taste."
Advanced,Erweitert
"All touch functions, including touch gestures, are enabled.",Es sind alle Touch-Funktionen einschließlich Touch-Gesten aktiviert.
visit wacom's wacom bridge webpage for information and a link to submit feedback about wacom bridge.,"Auf der Wacom Webseite zu Wacom Bridge finden Sie Informationen und einen Link, über den Sie Feedback zu Wacom Bridge übermitteln können."
Click here to dismiss this notice.,"Klicken Sie hier, um diese Mitteilung nicht mehr anzuzeigen."
Customized:,Angepasst:
Access User Help and other information.,Zugang zur Benutzerhilfe und anderen Informationen.
Sensitivity,Empfindlichkeit
Browse...,Durchsuchen…
Welcome,Willkommen
Do you want to restore this backup?,Möchten Sie diese Sicherung wiederherstellen?
"Select the application for which you want to customize tool settings. Choose an application from the list below, or click the Browse button to select any application installed on your computer.","Wählen Sie die Anwendung aus, für die Sie die Werkzeugeinstellungen anpassen möchten. Wählen Sie eine Anwendung aus der Liste unten aus, oder klicken Sie auf die Schaltfläche Durchsuchen, um eine beliebige auf Ihrem Computer installierte Anwendung auszuwählen."
Hover over a gesture to see an illustration of its movement.,"Halten Sie den Cursor über eine Geste, um eine Grafik von deren Bewegung anzuzeigen."
Pan/Scroll (Legacy)...,Verschieben/Bildlauf (alt)…
Import backup,Sicherung importieren
Check software offers,Check software offers
"To turn the touch function on or off, use your device’s physical touch slider.","Um die Touch-Funktion ein- oder auszuschalten, verwenden Sie den physischen Touch-Schieberegler Ihres Geräts."
WACOM_CENTER_REGISTER_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/register-device?wcLang=de&regMethod=%s
Disabled,Deaktiviert
Cancel,Abbrechen
Step Forward,Schritt vorwärts
Click,Klicken
Soft,Weich
Trigger different functions by pressing a button on your pen while hovering above your device.,"Lösen Sie verschiedene Funktionen aus, indem Sie eine Taste auf Ihrem Stift drücken, während Sie ihn über Ihr Gerät halten."
Welcome to Wacom Center,Willkommen beim Wacom Center
Pop-up notifications,Pop-up-Benachrichtigungen
Cintiq Pro modifiers,Cintiq Pro Zusatztasten
Backup & restore settings,Einstellungen sichern und wiederherstellen
Wacom screen keys,Wacom Bildschirmschaltflächen
Access to exclusive software offers,Zugang zu exklusiven Software-Angeboten
