Key (Decoded),Value (Decoded)
Set up the basic functionality of touch and find the selective touch function here.,Configure la funcionalidad básica del toque y encuentre aquí la función de toque selectivo.
"Display Toggle is a function to toggle your cursor between multiple screens, which is only available for multi-screen setups. Connect another display to configure Display Toggle here.","Display Toggle is a function to toggle your cursor between multiple screens, which is only available for multi-screen setups. Connect another display to configure Display Toggle here."
Zoom...,Ampliar…
OK,OK
Up/Down arrow,Flecha arriba/abajo
WACOM_CENTER_DEVPAGE_EDU_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/product-videos?wcLang=es&regMethod=%s&feedback=true
Tilt:,Inclinación:
connected,Conectado
Select keyboard modifiers to combine with the wheel action.,Seleccione modificadores de teclado para combinarlos con la acción de la rueda.
Resource:,Resource:
"Would you like to apply the orientation ""Portrait flipped""?","¿Desea aplicar la orientación ""Vertical invertida""?"
Canvas controls,Controles de Canvas
"Would you like to apply the orientation ""Portrait""?","¿Desea aplicar la orientación ""Vertical""?"
support,Soporte
"Would you like to apply the orientation ""Landscape flipped""?","¿Desea aplicar la orientación ""Horizontal invertida""?"
Do you want to overwrite your backup,Desea sobreescribir su copia de seguridad
4001:110,Aprender de expertos y artistas con tutoriales y cursos
Left/Right arrow,Flecha izquierda/derecha
Touch input is enabled only on Grid panels or Radial menus.,La entrada táctil solo está habilitada en los paneles de cuadrícula o en los menús radiales.
wacom reserves the right to charge a reasonable license or subscription fee for this feature in the future.,Wacom se reserva el derecho de cobrar una tarifa de licencia o suscripción razonable por esta función en el futuro.
One or more of your Wacom devices are no longer supported by this driver.,Uno o más de sus dispositivos Wacom ya no son compatibles con este controlador.
"Turning your device's touch slider to ""Off"" and choosing ""Selective""","Turning your device's touch slider to ""Off"" and choosing ""Selective"""
Tip sensitivity,Sensibilidad de la punta
Tablet S/N:,N.º de serie de tableta:
Mapping setup,Configuración de proyección
Tablet functions,Funciones de la tableta
Buttons:,Botones:
"Adjust pen tip sensitivity and feel, customize the pen button and other pen settings.","Ajustar la sensibilidad y el tacto de la punta del lápiz, personalizar el botón del lápiz y otros ajustes del lápiz."
3001:18:00,%.1f mm
To import an older backup file:,Importar un archivo de copia de seguridad antiguo:
4001:94,Descubra cómo conectar su dispositivo por Bluetooth
Pressure:,Presión:
Do you want to delete the selected preset settings group: %s?,¿Desea eliminar el grupo de ajustes preestablecidos: %s?
Pen S/N:,lápiz S/N:
Four fingers,Cuatro dedos
Double tap,Doble toque
Maximum,Máximo
Step 1 - Press the Tablet button assigned to Power & Menu to open the built-in menu.,Paso 1: Pulse el botón de la tableta asignado a Encendido y Menú para abrir el menú integrado.
Overwriting this backup will replace its settings with the settings you are currently using. This process is not reversible.,Al sobrescribir esta copia de seguridad se sustituirán sus ajustes por los que está utilizando actualmente. Este proceso no es reversible.
Customize the actions performed by the Touch ring.,Personalice las acciones que ejecuta el Touch Ring.
Mode toggle...,Cambio de modo…
Display firmware:,Firmware de la pantalla:
Brush size,Tamaño de pincel
"If your Wacom device is plugged in, check the connections or try using a different port.","Si su dispositivo Wacom está conectado, compruebe las conexiones o intente utilizar un puerto diferente."
Step 1 - Press the middle button on the back of the device to open the built-in display settings menus.,Paso 1: presione el botón central de la parte posterior de su dispositivo para abrir el menú de ajustes de pantalla integrado.
3001:20:00,ON
4001:81,Calibración del lápiz
"Assign ""Dial toggle"" to an ExpressKey to toggle between the settings of the nearest Dial without opening Wacom Center.",Asigne «Cambiar rueda de ajuste» a una tecla ExpressKey para alternar entre los ajustes de la rueda de ajuste más cercana sin abrir Wacom Center.
Pen tool,herramienta pluma
Document view,Vista del documento
Use the Touch keys to access commonly used functions and features.,Utilice las teclas táctiles para acceder a las funciones y características más utilizadas.
Configure on the Mapping page,Configurar en la página de proyección
Copy,Copiar
Video tutorials on how to use On-screen shortcuts.,Tutoriales en vídeo sobre cómo utilizar los accesos directos en pantalla.
1. Move the USB/Bluetooth selector on the top of the tablet to the Bluetooth channel you would like to use ( . or : ).,1. Mueva el selector USB/Bluetooth de la parte superior de la tableta hasta el canal Bluetooth que desee utilizar ( . o : ).
Inset Area limits the active area on your pen display so shorter pen strokes can be used when working on other displays.,"«Área del recuadro» limita el área activa del monitor interactivo, de modo que se pueden utilizar trazos más cortos al trabajar en otros monitores."
"there is no wacom bridge connection to the remote computer. make sure you are logged into a wacom bridge supported remote computer. if the issue persists, contact your wacom bridge administrator or contact support to troubleshoot your wacom bridge connection.","No hay conexión Wacom Bridge con el ordenador remoto. Asegúrese de que ha iniciado sesión en un ordenador remoto compatible con Wacom Bridge. Si el problema persiste, póngase en contacto con el administrador de Wacom Bridge o con el servicio de asistencia técnica para solucionar el problema de la conexión de Wacom Bridge."
Show local screen cursor,Mostrar cursor de pantalla local
Mission control,Mission Control
Customize On-screen shortcuts in Wacom Center and use them to optimize your workflow. You can learn more on the On-screen shortcuts page.,Personalice los accesos directos en pantalla en Wacom Center y utilícelos para optimizar su flujo de trabajo. Puede obtener más información en la página de accesos directos en pantalla.
Touch on/off,Entradas táctiles activadas/desactivadas
4001:30:00,Personalizar el color y otros ajustes de su pantalla Wacom
NewMenu,NuevoMenú
The content of this page can also be viewed by logging into your account at wacom.com.,También puede consultar el contenido de esta página accediendo a su cuenta en wacom.com.
Tools,Herramientas
Right,Derecha
4001:141,Conectar este dispositivo
"To see which Tablet button is assigned to Power & Menu, go to the ExpressKey settings.","Para ver qué botón de la tableta está asignado a Encendido y Menú, vaya a la configuración de las teclas ExpressKey."
send feedback,Enviar comentarios
Pen Name:,Nombre lápiz:
Bucket tool,herramienta de cubo
Go forward one page.,Avanzar una página.
no wacom bridge supported devices connected. check the wacom support faqs for a list of wacom bridge supported devices.,No hay dispositivos compatibles con Wacom Bridge conectados. Consulte las preguntas frecuentes de asistencia de Wacom para obtener una lista de los dispositivos compatibles con Wacom Bridge.
Precision mode,Modo de precisión
"If your Wacom device is plugged in, check the connections or try using a different port. If you are using a wireless device, make sure it is on and paired or connected. If you need assistance, please contact Wacom Support and we can help.","Si el dispositivo de Wacom está conectado, compruebe las conexiones o intente utilizar un puerto diferente. Si está utilizando un dispositivo inalámbrico, asegúrese de que esté encendido y emparejado o conectado. Si necesita ayuda, póngase en contacto con el servicio de asistencia de Wacom y podremos ayudarle."
Layers/Brush size,Capas/tamaño de pincel
Limits the active area during display toggle.,Limita el área activa durante el cambio de visualización.
Touch keys,Teclas táctiles
Press and hold the Bluetooth button on your pen tablet until the light starts blinking. The pen tablet is now in pairing mode.,Mantenga pulsado el botón Bluetooth de la pen tablet hasta que la luz empiece a parpadear. La pen tablet se encuentra ahora en modo de emparejamiento.
Redo,Rehacer
Advanced gestures,Movimientos avanzados
3090:05:00,Cinco
Confirm reset,Confirmar restablecimiento
"Your pen display has two Tablet buttons, one of which can be used as an ExpressKey. There are also two Touch keys next to the screen, as indicated in the image. You can adjust the settings of both on the Wacom Center ExpressKeys page.","El monitor interactivo dispone de dos botones de tableta, uno de los cuales puede utilizarse como tecla ExpressKey. También hay dos teclas táctiles junto a la pantalla, como se indica en la imagen. Puede ajustar la configuración de ambas en la página de teclas ExpressKey del Wacom Center."
"Wacom Center uses screen recording only to display thumbnail images for each display. For more details, review:","Wacom Center utiliza la grabación de pantalla solo para mostrar imágenes en miniatura para cada pantalla. Para más detalles, revise:"
Inset area,Zona de inserción
4001:40:00,Personalizar el uso de cambio de pantalla
Swipe left/right,Deslizar a la derecha/izquierda
ExpressKeys,ExpressKeys
4001:163,Configure in mapping page
3001:19:00,%.1f°
Navigation,Navegación
wacom bridge license & subscription information,Licencia de Wacom Bridge e información de suscripción
About Wacom Center,Acerca del Wacom Center
4001:95,"Important Product Information: cautions, specifications, license and warranty for your wacom device "
Your Wacom device is no longer supported,Su dispositivo Wacom ya no es compatible
Position:,Posición:
"Limits the active area to 6 x 8 inches. It can be smaller if ""Force proportions"" is enabled.",Limita el área activa a 6 x 8 pulgadas. Puede ser más pequeña si se activa «Forzar proporciones».
3090:02:00,Dos
Zoom in,Ampliar
"Your device has two Touch keys, one on each side of the display, which function as ExpressKeys.","Su dispositivo dispone de dos teclas táctiles, una a cada lado de la pantalla, que funcionan como teclas ExpressKey."
"Or visit Wacom Support to check whether an older driver for your device and operating system is available, and download it.",O visite el servicio de asistencia de Wacom para comprobar si hay disponible un controlador más antiguo para su dispositivo y sistema operativo y descárguelo.
Rename the currently selected preset settings group?,¿Volver a nombrar el grupo de ajustes preestablecidos seleccionado actualmente?
Scroll...,Desplazar…
Click to register your device using your Wacom ID account. Unlock software offers that may be bundled with your device.,Haga clic para registrar su dispositivo utilizando su cuenta Wacom ID. Desbloquee las ofertas de software que puedan venir incluidas con su dispositivo.
Then go to your computer's Bluetooth settings and select the Wacom tablet from the list to start pairing.,"A continuación, vaya a la configuración Bluetooth del ordenador y seleccione la tableta Wacom de la lista para iniciar el emparejamiento."
Pen button mode,Modo de botón del lápiz
Paste,Pegar
Pan/Scroll (legacy),Desplazar (legado)
3110:05:00,Sin cargarse
"Would you like to apply the orientation ""Landscape""?","¿Desea aplicar la orientación ""Horizontal""?"
Display toggle,Cambiar pantalla
Touch Selective,Touch Selective
3001:06:00,Fuera
Tablet,Tableta
3001:21:00,Off
Custom,Personalizado
Wheel...,Rueda…
Zoom out,Reducir
App shortcuts,Acc. directos a aplic.
Display %s,Pantalla %s
4001:143,Función táctil: Off
3110:02:00,"Gastando, %d%% lleno"
Battery is %d%% full,La batería está cargada al %d%%
4001:31:00,Ajustes de pantalla
3001:03:00,Serie
Important: Battery charging,Importante: carga de la batería
3114:01:00,No
Use the ExpressKeys to trigger your favorite keyboard shortcuts or other functions.,Utilice las teclas ExpressKey para activar sus atajos de teclado favoritos u otras funciones.
Swipe down,Deslizar hacia abajo
"To connect via Bluetooth, make sure the pen tablet is charged.","Para conectarse por Bluetooth, asegúrese de que la pen tablet está cargada."
Normal,Normal
Try turning off your computer and turning it back on again.,Apague el ordenador y vuélvalo a encender.
Keyboard,Teclado
Right Buttons:,Botones derechos:
Rotate right,Girar a la derecha
Click the text field to assign a custom action to this gesture.,Haga clic en el campo de texto para asignar una acción personalizada a este gesto.
Fit on Screen,Ajustar a pantalla
WACOM_CENTER_NEWS_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/news/intuos-pro?wcLang=es
3001:12:00,Ratón
"Cautions, specifications, license and warranty for your Wacom device","Precauciones, especificaciones, licencia y garantía de su dispositivo Wacom"
Skip,Omitir
Proximity:,Proximidad:
View tutorial videos for tips and tricks about using your pen with the software bundled with your device.,Vea vídeos tutoriales con consejos y trucos para utilizar su lápiz con el software que se incluye con su dispositivo.
USB/Bluetooth selector,Selector USB/Bluetooth
Please consider an upgrade to a newer Wacom product with improved features and functions.,"Por favor, considere la posibilidad de actualizar a un producto Wacom más reciente con características y funciones mejoradas."
4th click,4° clic (atrás)
"If that does not work, please contact Customer Support, and we can help.","Si no funciona, póngase en contacto con el servicio de atención al cliente para obtener ayuda."
Display,Pantalla
Left,Izquierda
Connected via Bluetooth,Conectado por Bluetooth
4001:41:00,Ajustes de cambio de pantalla
Pen display modifiers,Modificadores del monitor interactivo
Register your device for exclusive software offers.,Registre su dispositivo para ofertas de software exclusivas.
Eraser tool,herramienta borrador
Display toggle cycles your cursor between multiple screens and is only available for multi-screen setups.,El cambio de pantalla hace que el cursor pase de una pantalla a otra y solo está disponible para configuraciones multipantalla.
3117:01:00,Off
Wacom Bridge License Key,Clave de licencia de Wacom Bridge
1380:00:00,Vertical
Click to make this the active Dial mode.,Haga clic para activar este modo de la rueda de ajuste.
New backup,Nueva copia de seguridad
Touch input,Entrada táctil
Software offers,Ofertas de software
Launch,Lanzar
Touch ring,Touch Ring
Rotate,Rotar
Eraser pressure,Presión del borrador
Applications,Aplicaciones
Three fingers,Tres dedos
Layer up,Capa arriba
Your device is no longer supported,Su dispositivo ya no es compatible
4001:145,La función táctil está actualmente habilitada.
Pen hover,Flotación del lápiz
Recommended,Recomendado
WACOM_CENTER_OSCPAGE_EDU_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/oss-videos?collection=oss?wcLang=es&feedback=true
"Sets ExpressKeys, Touch rings, Dials and Rocker rings to ""Disabled"" for all currently connected devices.","Establece tecla ExpressKey, Touch Ring, rueda de ajuste y Rocker Ring en ""Desactivado"" para todos los dispositivos conectados actualmente."
Please choose another name. The current name is already in use.,El nombre actual ya se está utilizando. Elija otro nombre.
Default,Predefinido
Include or exclude all displays in the Display toggle cycle.,Incluya o excluya todas las pantallas en el ciclo de cambio de pantalla.
4001:70,Cambiar las funciones del Rocker Ring
Erase,Borrar
Eraser sensitivity,Sensibilidad del borrador
Do you want to delete the selected preset settings group?,Do you want to delete the selected preset settings group?
Devices,Dispositivos
Rotate left,Girar a la izquierda
"If you need assistance, please contact Wacom Support and we can help.","Si necesita ayuda, póngase en contacto con el servicio de asistencia de Wacom y podremos ayudarle."
3001:13:00,Lápiz
WACOM_CENTER_NEWS_WEBVIEW_DEV,"WACOM_CENTER_NEWS_WEBVIEW_DEV""

""WACOM_CENTER_LEARNING_WEBVIEW"" = ""WACOM_CENTER_LEARNING_WEBVIEW"
Enable or disable 1- and 2-finger gestures.,Activar o desactivar los gestos de 1 y 2 dedos.
Use the pen to click on th3e Bottom Right corner of the Portion of Tablet area that you are selecting. Press Esc to cancel.,Utilice el lápiz para hacer clic en la esquina inferior derecha de la parte del área de la tableta que esté seleccionando. Pulse Esc para cancelar.
Advanced,Avanzado
"All touch functions, including touch gestures, are enabled.","Todas las funciones táctiles, incluidos los gestos táctiles, están activadas."
visit wacom's wacom bridge webpage for information and a link to submit feedback about wacom bridge.,Visite la página web de Wacom sobre Wacom Bridge para obtener información y un enlace para enviar comentarios sobre Wacom Bridge.
Click here to dismiss this notice.,Haga clic aquí para descartar este aviso.
Customized:,Personalizado:
Access User Help and other information.,Acceder a la ayuda para el usuario y a otra información.
Sensitivity,Sensibilidad
Browse...,Examinar…
Welcome,Bienvenido
Do you want to restore this backup?,¿Desea restaurar esta copia de seguridad?
"Select the application for which you want to customize tool settings. Choose an application from the list below, or click the Browse button to select any application installed on your computer.",Seleccione la aplicación en la que quiera personalizar los ajustes de la herramienta. Seleccione una aplicación de la lista que aparece más abajo o haga clic en el botón del navegador para seleccionar cualquier aplicación instalada en su ordenador.
Hover over a gesture to see an illustration of its movement.,Colóquese encima de un gesto para ver una ilustración de su movimiento.
Pan/Scroll (Legacy)...,Desplazar (legado)…
Import backup,Importar copia de seguridad
Check software offers,Check software offers
"To turn the touch function on or off, use your device’s physical touch slider.","Para activar o desactivar la función táctil, utilice el deslizador táctil físico de su dispositivo."
WACOM_CENTER_REGISTER_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/register-device?wcLang=es&regMethod=%s
Disabled,Desactivado
Cancel,Cancelar
Step Forward,Paso adelante
Click,Clic
Soft,Suave
Trigger different functions by pressing a button on your pen while hovering above your device.,Active diferentes funciones pulsando un botón de su lápiz mientras lo sitúa encima de su dispositivo.
Welcome to Wacom Center,Bienvenido a Wacom Center
Pop-up notifications,Notificaciones emergentes
Cintiq Pro modifiers,Modificadores de Cintiq Pro
Backup & restore settings,Ajustes de copia de seguridad y restauración
Wacom screen keys,Teclado en pantalla Wacom
Access to exclusive software offers,Acceso a ofertas exclusivas de software
